feature,importance,dataset,run,seed
stage_2_frames,0.024845714843364765,SI216,1,42
stage_3_frames,0.00794336474172616,SI216,1,42
stage_4_frames,0.012307723211513561,SI216,1,42
stage_5_frames,0.025140894159018715,SI216,1,42
roam_mean,0.02476667230818182,SI216,1,42
roam_std_over_mean,0.020812229912059704,SI216,1,42
roam_early_mean,0.03330786683271269,SI216,1,42
roam_mid_mean,0.020872340619833382,SI216,1,42
roam_late_mean,0.01372952680108004,SI216,1,42
roam_slope,0.008788702999178173,SI216,1,42
speed_1s_rows,0.020874017223728177,SI216,1,42
speed_1s_stage2_rows,0.007151914671296014,SI216,1,42
speed_1s_stage2_col1_mean,0.013551131291541578,SI216,1,42
speed_1s_stage2_col1_std_over_mean,0.026690933279910116,SI216,1,42
speed_1s_stage2_col2_mean,0.014057251494310809,SI216,1,42
speed_1s_stage2_col2_std_over_mean,0.018622858556296806,SI216,1,42
speed_1s_stage3_rows,0.008783714342365703,SI216,1,42
speed_1s_stage3_col1_mean,0.00887498586406425,SI216,1,42
speed_1s_stage3_col1_std_over_mean,0.0085940106620504,SI216,1,42
speed_1s_stage3_col2_mean,0.010822041287834597,SI216,1,42
speed_1s_stage3_col2_std_over_mean,0.04509554663917798,SI216,1,42
speed_1s_stage4_rows,0.023025550396924263,SI216,1,42
speed_1s_stage4_col1_mean,0.013260658178920791,SI216,1,42
speed_1s_stage4_col1_std_over_mean,0.01399070519035629,SI216,1,42
speed_1s_stage4_col2_mean,0.02768028706555743,SI216,1,42
speed_1s_stage4_col2_std_over_mean,0.060483551514741905,SI216,1,42
speed_1s_stage5_rows,0.00015404247254823455,SI216,1,42
speed_1s_stage5_col1_mean,0.003597017211625386,SI216,1,42
speed_1s_stage5_col1_std_over_mean,0.06646533695575589,SI216,1,42
speed_1s_stage5_col2_mean,0.01522673043578787,SI216,1,42
speed_1s_stage5_col2_std_over_mean,0.05262010859996216,SI216,1,42
speed_10s_avg_rows,0.014947966206266044,SI216,1,42
speed_10s_avg_stage2_rows,0.008299524429711021,SI216,1,42
speed_10s_avg_stage2_col1_mean,0.012551881627359828,SI216,1,42
speed_10s_avg_stage2_col1_std_over_mean,0.015437578147291088,SI216,1,42
speed_10s_avg_stage2_col2_mean,0.018038053655531294,SI216,1,42
speed_10s_avg_stage2_col2_std_over_mean,0.015188461011751335,SI216,1,42
speed_10s_avg_stage3_rows,0.006261708563705347,SI216,1,42
speed_10s_avg_stage3_col1_mean,0.005457737498645721,SI216,1,42
speed_10s_avg_stage3_col1_std_over_mean,0.025671472789076222,SI216,1,42
speed_10s_avg_stage3_col2_mean,0.01168206771269175,SI216,1,42
speed_10s_avg_stage3_col2_std_over_mean,0.016608804782966027,SI216,1,42
speed_10s_avg_stage4_rows,0.02153205317860479,SI216,1,42
speed_10s_avg_stage4_col1_mean,0.01211986605884428,SI216,1,42
