feature,importance,dataset,run,seed
stage_2_frames,0.0122784121626433,SI216_shuffled,1,42
stage_3_frames,0.010516450232990823,SI216_shuffled,1,42
stage_4_frames,0.023454940240669478,SI216_shuffled,1,42
stage_5_frames,0.009923393927690745,SI216_shuffled,1,42
roam_mean,0.01200429516880011,SI216_shuffled,1,42
roam_std_over_mean,0.009800268853326294,SI216_shuffled,1,42
roam_early_mean,0.041761082831248325,SI216_shuffled,1,42
roam_mid_mean,0.06876634322401388,SI216_shuffled,1,42
roam_late_mean,0.009726241756302078,SI216_shuffled,1,42
roam_slope,0.07738438122478748,SI216_shuffled,1,42
speed_1s_rows,0.008410970194407315,SI216_shuffled,1,42
speed_1s_stage2_rows,0.010826207350813606,SI216_shuffled,1,42
speed_1s_stage2_col1_mean,0.009277146541481249,SI216_shuffled,1,42
speed_1s_stage2_col1_std_over_mean,0.035086932292321425,SI216_shuffled,1,42
speed_1s_stage2_col2_mean,0.01051589122406307,SI216_shuffled,1,42
speed_1s_stage2_col2_std_over_mean,0.009194122688248036,SI216_shuffled,1,42
speed_1s_stage3_rows,0.02138873624566899,SI216_shuffled,1,42
speed_1s_stage3_col1_mean,0.009572626927859299,SI216_shuffled,1,42
speed_1s_stage3_col1_std_over_mean,0.018860940549185284,SI216_shuffled,1,42
speed_1s_stage3_col2_mean,0.0066592530131713715,SI216_shuffled,1,42
speed_1s_stage3_col2_std_over_mean,0.018050885900607074,SI216_shuffled,1,42
speed_1s_stage4_rows,0.007332031859512053,SI216_shuffled,1,42
speed_1s_stage4_col1_mean,0.011918472735563932,SI216_shuffled,1,42
speed_1s_stage4_col1_std_over_mean,0.009462552544514474,SI216_shuffled,1,42
speed_1s_stage4_col2_mean,0.014266093803001968,SI216_shuffled,1,42
speed_1s_stage4_col2_std_over_mean,0.04095865513125666,SI216_shuffled,1,42
speed_1s_stage5_rows,0.0041946543943886345,SI216_shuffled,1,42
speed_1s_stage5_col1_mean,0.02076670268798852,SI216_shuffled,1,42
speed_1s_stage5_col1_std_over_mean,0.02677758231259847,SI216_shuffled,1,42
speed_1s_stage5_col2_mean,0.0188166286304092,SI216_shuffled,1,42
speed_1s_stage5_col2_std_over_mean,0.013772894550843877,SI216_shuffled,1,42
speed_10s_avg_rows,0.01534625184583439,SI216_shuffled,1,42
speed_10s_avg_stage2_rows,0.011744074263158944,SI216_shuffled,1,42
speed_10s_avg_stage2_col1_mean,0.011394399496688737,SI216_shuffled,1,42
speed_10s_avg_stage2_col1_std_over_mean,0.07453446262118336,SI216_shuffled,1,42
speed_10s_avg_stage2_col2_mean,0.00865235223709984,SI216_shuffled,1,42
speed_10s_avg_stage2_col2_std_over_mean,0.0085519225908941,SI216_shuffled,1,42
speed_10s_avg_stage3_rows,0.039849611705981225,SI216_shuffled,1,42
speed_10s_avg_stage3_col1_mean,0.005869135422316216,SI216_shuffled,1,42
speed_10s_avg_stage3_col1_std_over_mean,0.02839546752620334,SI216_shuffled,1,42
speed_10s_avg_stage3_col2_mean,0.007200061362418839,SI216_shuffled,1,42
speed_10s_avg_stage3_col2_std_over_mean,0.017543604757188257,SI216_shuffled,1,42
speed_10s_avg_stage4_rows,0.00863859752005367,SI216_shuffled,1,42
speed_10s_avg_stage4_col1_mean,0.01676057215947278,SI216_shuffled,1,42
speed_10s_avg_stage4_col1_std_over_mean,0.0060016482187110936,SI216_shuffled,1,42
speed_10s_avg_stage4_col2_mean,0.022252444514582033,SI216_shuffled,1,42
speed_10s_avg_stage4_col2_std_over_mean,0.03666511478557705,SI216_shuffled,1,42
speed_10s_avg_stage5_rows,0.004894492073655167,SI216_shuffled,1,42
speed_10s_avg_stage5_col1_mean,0.015293418057239038,SI216_shuffled,1,42
speed_10s_avg_stage5_col1_std_over_mean,0.013654449497951544,SI216_shuffled,1,42
speed_10s_avg_stage5_col2_mean,0.018934922451492774,SI216_shuffled,1,42
speed_10s_avg_stage5_col2_std_over_mean,0.026097205691920637,SI216_shuffled,1,42
stage_2_frames,0.009952950776081113,SI216_shuffled,2,43
stage_3_frames,0.014848653892885704,SI216_shuffled,2,43
stage_4_frames,0.028924543003234316,SI216_shuffled,2,43
